9, 0, 100
9, 1, 100
9, 2, 100
9, 3, 100
9, 4, 100
9, 5, 100
9, 6, 100
9, 7, 100
9, 8, 100
9, 9, 100
9, 10, 100
9, 11, 100
9, 12, 100
9, 13, 100
9, 14, 100
9, 15, 100
9, 16, 100
9, 17, 100
9, 18, 100
9, 19, 100
9, 20, 100
9, 21, 100
9, 22, 100
9, 23, 100
9, 24, 100
9, 25, 100
9, 26, 100
9, 27, 100
9, 28, 100
9, 29, 100
9, 30, 100
9, 31, 100
9, 32, 100
9, 33, 100
9, 34, 100
9, 35, 100
9, 36, 100
9, 37, 100
9, 38, 100
9, 39, 100
19, 19, 100
19,	20, 100
19,	21, 100
19,	22,	100
19,	23,	100
19,	24,	100
19,	25,	100
19,	26,	100
19,	27,	100
19,	28,	100
19,	29,	100
19,	30,	100
19,	31,	100
19,	32,	100
19,	33,	100
19,	34,	100
19,	35,	100
19,	36,	100
19,	37,	100
19,	38,	100
19,	39,	100
19,	40,	100
19,	41,	100
19,	42,	100
19,	43,	100
19,	44,	100
19,	45,	100
19,	46,	100
19,	47,	100
19,	48,	100
19,	49,	100
19,	50,	100
19,	51,	100
19,	52,	100
19,	53,	100
19,	54,	100
29,	19,	100
29,	20,	100
29,	21,	100
29,	22,	100
29,	23,	100
29,	24,	100
29,	25,	100
29,	26,	100
29,	27,	100
29,	28,	100
29,	29,	100
29,	30,	100
29,	31,	100
29,	32,	100
29,	33,	100
29,	34,	100
29,	35,	100
29,	36,	100
29,	37,	100
29,	38,	100
29,	39,	100
39,	0, 100
39,	1, 100
39,	2, 100
39,	3, 100
39,	4, 100
39,	5, 100
39,	6, 100
39,	7, 100
39,	8, 100
39,	9, 100
39,	10, 100
39,	11,	100
39,	12,	100
39,	13,	100
39,	14,	100
39,	15,	100
39,	16,	100
39,	17,	100
39,	18,	100
39,	19,	100
39,	20,	100
39,	21,	100
39,	22,	100
39,	23,	100
39,	24,	100
39,	25,	100
39,	26,	100
39,	27,	100
39,	28,	100
39,	29,	100
39,	30,	100
39,	31,	100
39,	32,	100
39,	33,	100
39,	34,	100
39,	35,	100
39,	36,	100
39,	37,	100
39,	38,	100
39,	39,	100
49,	19,	100
49,	20,	100
49,	21,	100
49,	22,	100
49,	23,	100
49,	24,	100
49,	25,	100
49,	26,	100
49,	27,	100
49,	28,	100
49,	29,	100
49,	30,	100
49,	31,	100
49,	32,	100
49,	33,	100
49,	34,	100
49,	35,	100
49,	36,	100
49,	37,	100
49,	38,	100
49,	39,	100
49,	40,	100
49,	41,	100
49,	42,	100
49,	43,	100
49,	44,	100
49,	45,	100
49,	46,	100
49,	47,	100
49,	48,	100
49,	49,	100
49,	50,	100
49,	51,	100
49,	52,	100
49,	53,	100
49,	54,	100
